driver_id,car_id,shift_start,shift_end
D30,C13,2025-01-04 08:52:00,2025-01-04 16:52:00
D28,C13,2025-01-04 08:20:00,2025-01-04 15:20:00
D18,C14,2025-01-04 08:56:00,2025-01-04 17:56:00
D49,C15,2025-01-04 08:29:00,2025-01-04 17:29:00
D2,C16,2025-01-04 08:54:00,2025-01-04 16:54:00
D32,C16,2025-01-04 08:11:00,2025-01-04 17:11:00
D23,C17,2025-01-04 08:51:00,2025-01-04 16:51:00
D18,C18,2025-01-04 08:44:00,2025-01-04 16:44:00
D39,C18,2025-01-04 08:35:00,2025-01-04 14:35:00
D6,C19,2025-01-04 08:15:00,2025-01-04 17:15:00
D36,C20,2025-01-04 08:15:00,2025-01-04 17:15:00
D49,C20,2025-01-04 08:41:00,2025-01-04 17:41:00
D2,C21,2025-01-04 08:18:00,2025-01-04 15:18:00
D6,C21,2025-01-04 08:25:00,2025-01-04 15:25:00
D43,C22,2025-01-04 08:23:00,2025-01-04 17:23:00
D38,C22,2025-01-04 08:35:00,2025-01-04 16:35:00
D48,C23,2025-01-04 08:21:00,2025-01-04 16:21:00
D36,C23,2025-01-04 08:44:00,2025-01-04 17:44:00
D20,C24,2025-01-04 08:14:00,2025-01-04 14:14:00
D17,C24,2025-01-04 08:46:00,2025-01-04 15:46:00
D8,C25,2025-01-04 08:34:00,2025-01-04 15:34:00
D48,C25,2025-01-04 08:12:00,2025-01-04 15:12:00
D18,C1,2025-01-05 08:37:00,2025-01-05 16:37:00
D47,C1,2025-01-05 08:06:00,2025-01-05 15:06:00
D15,C2,2025-01-05 08:11:00,2025-01-05 16:11:00
D24,C2,2025-01-05 08:00:00,2025-01-05 15:00:00
D3,C3,2025-01-05 08:35:00,2025-01-05 16:35:00
D4,C3,2025-01-05 08:44:00,2025-01-05 15:44:00
D7,C4,2025-01-05 08:36:00,2025-01-05 16:36:00
D1,C4,2025-01-05 08:30:00,2025-01-05 17:30:00
D22,C5,2025-01-05 08:03:00,2025-01-05 16:03:00
D12,C5,2025-01-05 09:00:00,2025-01-05 18:00:00
D5,C6,2025-01-05 08:25:00,2025-01-05 17:25:00
D37,C7,2025-01-05 08:40:00,2025-01-05 14:40:00
D10,C8,2025-01-05 08:51:00,2025-01-05 16:51:00
D16,C9,2025-01-05 08:07:00,2025-01-05 17:07:00
D50,C10,2025-01-05 08:33:00,2025-01-05 17:33:00
D29,C11,2025-01-05 08:55:00,2025-01-05 17:55:00
D20,C11,2025-01-05 08:19:00,2025-01-05 14:19:00
D49,C12,2025-01-05 08:13:00,2025-01-05 15:13:00
D43,C13,2025-01-05 08:10:00,2025-01-05 15:10:00
D6,C13,2025-01-05 08:11:00,2025-01-05 14:11:00
D1,C14,2025-01-05 08:26:00,2025-01-05 17:26:00
D19,C15,2025-01-05 08:14:00,2025-01-05 16:14:00
D3,C15,2025-01-05 08:45:00,2025-01-05 16:45:00
D5,C16,2025-01-05 08:14:00,2025-01-05 16:14:00
D44,C16,2025-01-05 08:50:00,2025-01-05 15:50:00
D8,C17,2025-01-05 08:14:00,2025-01-05 15:14:00
D35,C17,2025-01-05 08:58:00,2025-01-05 16:58:00
D5,C18,2025-01-05 08:03:00,2025-01-05 15:03:00
D39,C19,2025-01-05 08:52:00,2025-01-05 16:52:00
D48,C19,2025-01-05 08:28:00,2025-01-05 14:28:00
D45,C20,2025-01-05 08:44:00,2025-01-05 17:44:00
D20,C20,2025-01-05 09:00:00,2025-01-05 17:00:00
D29,C21,2025-01-05 08:38:00,2025-01-05 14:38:00
D6,C21,2025-01-05 08:56:00,2025-01-05 17:56:00
D39,C22,2025-01-05 08:01:00,2025-01-05 14:01:00
D17,C22,2025-01-05 08:14:00,2025-01-05 14:14:00
D37,C23,2025-01-05 08:48:00,2025-01-05 15:48:00
D3,C23,2025-01-05 08:30:00,2025-01-05 17:30:00
D12,C24,2025-01-05 08:27:00,2025-01-05 17:27:00
D38,C24,2025-01-05 08:05:00,2025-01-05 17:05:00
D27,C25,2025-01-05 08:20:00,2025-01-05 14:20:00
D22,C25,2025-01-05 08:54:00,2025-01-05 15:54:00
D27,C1,2025-01-06 08:31:00,2025-01-06 16:31:00
D45,C1,2025-01-06 08:42:00,2025-01-06 17:42:00
D30,C2,2025-01-06 08:05:00,2025-01-06 16:05:00
D21,C3,2025-01-06 08:49:00,2025-01-06 17:49:00
D8,C3,2025-01-06 08:55:00,2025-01-06 14:55:00
D27,C4,2025-01-06 08:12:00,2025-01-06 16:12:00
D4,C4,2025-01-06 08:39:00,2025-01-06 17:39:00
D49,C5,2025-01-06 08:13:00,2025-01-06 16:13:00
D4,C5,2025-01-06 08:35:00,2025-01-06 15:35:00
D29,C6,2025-01-06 08:31:00,2025-01-06 14:31:00
D45,C6,2025-01-06 08:01:00,2025-01-06 15:01:00
D20,C7,2025-01-06 08:35:00,2025-01-06 14:35:00
D6,C8,2025-01-06 08:53:00,2025-01-06 14:53:00
D15,C8,2025-01-06 08:29:00,2025-01-06 14:29:00
D32,C9,2025-01-06 08:59:00,2025-01-06 16:59:00
D27,C10,2025-01-06 08:30:00,2025-01-06 15:30:00
D31,C10,2025-01-06 08:29:00,2025-01-06 15:29:00
D13,C11,2025-01-06 08:32:00,2025-01-06 15:32:00
D39,C11,2025-01-06 08:55:00,2025-01-06 14:55:00
D50,C12,2025-01-06 08:21:00,2025-01-06 16:21:00
D27,C12,2025-01-06 08:52:00,2025-01-06 14:52:00
D47,C13,2025-01-06 08:53:00,2025-01-06 17:53:00
D20,C13,2025-01-06 08:55:00,2025-01-06 15:55:00
D35,C14,2025-01-06 08:22:00,2025-01-06 16:22:00
D31,C14,2025-01-06 08:35:00,2025-01-06 17:35:00
D21,C15,2025-01-06 08:44:00,2025-01-06 15:44:00
D13,C15,2025-01-06 08:36:00,2025-01-06 17:36:00
D50,C16,2025-01-06 08:26:00,2025-01-06 14:26:00
D48,C17,2025-01-06 08:45:00,2025-01-06 17:45:00
D31,C17,2025-01-06 08:24:00,2025-01-06 15:24:00
D3,C18,2025-01-06 08:32:00,2025-01-06 16:32:00
D9,C18,2025-01-06 08:55:00,2025-01-06 14:55:00
D7,C19,2025-01-06 08:58:00,2025-01-06 17:58:00
D34,C19,2025-01-06 08:00:00,2025-01-06 15:00:00
D42,C20,2025-01-06 08:04:00,2025-01-06 17:04:00
D10,C20,2025-01-06 08:50:00,2025-01-06 16:50:00
D40,C21,2025-01-06 08:25:00,2025-01-06 14:25:00
D45,C21,2025-01-06 08:54:00,2025-01-06 16:54:00
D21,C22,2025-01-06 08:45:00,2025-01-06 17:45:00
D41,C22,2025-01-06 08:55:00,2025-01-06 14:55:00
D16,C23,2025-01-06 08:40:00,2025-01-06 16:40:00
D48,C24,2025-01-06 08:05:00,2025-01-06 17:05:00
D49,C25,2025-01-06 08:40:00,2025-01-06 14:40:00
D11,C1,2025-01-07 08:19:00,2025-01-07 14:19:00
D45,C1,2025-01-07 08:02:00,2025-01-07 16:02:00
D19,C2,2025-01-07 08:22:00,2025-01-07 16:22:00
D10,C3,2025-01-07 08:33:00,2025-01-07 17:33:00
D16,C3,2025-01-07 08:36:00,2025-01-07 15:36:00
D12,C4,2025-01-07 08:05:00,2025-01-07 17:05:00
D32,C5,2025-01-07 08:58:00,2025-01-07 15:58:00
D30,C6,2025-01-07 08:40:00,2025-01-07 16:40:00
D17,C7,2025-01-07 08:00:00,2025-01-07 17:00:00
D43,C7,2025-01-07 08:57:00,2025-01-07 16:57:00
D5,C8,2025-01-07 08:28:00,2025-01-07 16:28:00
D41,C9,2025-01-07 08:44:00,2025-01-07 16:44:00
D28,C9,2025-01-07 08:29:00,2025-01-07 16:29:00
D25,C10,2025-01-07 08:54:00,2025-01-07 17:54:00
D16,C11,2025-01-07 08:24:00,2025-01-07 16:24:00
D45,C12,2025-01-07 08:01:00,2025-01-07 17:01:00
D19,C12,2025-01-07 08:17:00,2025-01-07 14:17:00
D39,C13,2025-01-07 08:47:00,2025-01-07 17:47:00
D50,C14,2025-01-07 08:38:00,2025-01-07 16:38:00
D15,C14,2025-01-07 08:14:00,2025-01-07 15:14:00
D44,C15,2025-01-07 08:46:00,2025-01-07 15:46:00
D49,C15,2025-01-07 08:40:00,2025-01-07 14:40:00
D20,C16,2025-01-07 08:50:00,2025-01-07 17:50:00
D38,C17,2025-01-07 08:23:00,2025-01-07 15:23:00
D19,C18,2025-01-07 08:20:00,2025-01-07 17:20:00
D13,C19,2025-01-07 08:08:00,2025-01-07 16:08:00
D11,C20,2025-01-07 08:58:00,2025-01-07 17:58:00
D17,C20,2025-01-07 08:51:00,2025-01-07 16:51:00
D8,C21,2025-01-07 08:04:00,2025-01-07 15:04:00
D30,C21,2025-01-07 08:48:00,2025-01-07 15:48:00
D36,C22,2025-01-07 08:05:00,2025-01-07 17:05:00
D24,C22,2025-01-07 08:00:00,2025-01-07 16:00:00
D30,C23,2025-01-07 08:23:00,2025-01-07 16:23:00
D41,C24,2025-01-07 08:06:00,2025-01-07 15:06:00
D24,C24,2025-01-07 08:30:00,2025-01-07 14:30:00
D40,C25,2025-01-07 08:41:00,2025-01-07 14:41:00
D15,C25,2025-01-07 08:40:00,2025-01-07 17:40:00
D42,C1,2025-01-08 08:07:00,2025-01-08 15:07:00
D27,C1,2025-01-08 08:02:00,2025-01-08 14:02:00
D32,C2,2025-01-08 08:06:00,2025-01-08 15:06:00
D8,C2,2025-01-08 08:56:00,2025-01-08 15:56:00
D30,C3,2025-01-08 08:42:00,2025-01-08 17:42:00
D24,C3,2025-01-08 08:37:00,2025-01-08 15:37:00
D42,C4,2025-01-08 08:53:00,2025-01-08 17:53:00
D7,C4,2025-01-08 08:39:00,2025-01-08 17:39:00
D3,C5,2025-01-08 08:23:00,2025-01-08 15:23:00
D45,C5,2025-01-08 08:28:00,2025-01-08 17:28:00
D24,C6,2025-01-08 08:06:00,2025-01-08 16:06:00
D4,C7,2025-01-08 08:17:00,2025-01-08 15:17:00
D26,C7,2025-01-08 08:07:00,2025-01-08 17:07:00
D43,C8,2025-01-08 08:13:00,2025-01-08 14:13:00
D22,C9,2025-01-08 08:15:00,2025-01-08 15:15:00
D5,C10,2025-01-08 08:53:00,2025-01-08 15:53:00
D15,C11,2025-01-08 08:21:00,2025-01-08 15:21:00
D18,C12,2025-01-08 08:54:00,2025-01-08 15:54:00
D35,C13,2025-01-08 08:16:00,2025-01-08 15:16:00
D43,C14,2025-01-08 08:55:00,2025-01-08 14:55:00
D1,C15,2025-01-08 08:22:00,2025-01-08 15:22:00
D2,C16,2025-01-08 08:16:00,2025-01-08 14:16:00
D12,C16,2025-01-08 08:08:00,2025-01-08 17:08:00
D48,C17,2025-01-08 08:04:00,2025-01-08 17:04:00
D50,C18,2025-01-08 08:32:00,2025-01-08 14:32:00
D24,C18,2025-01-08 08:28:00,2025-01-08 15:28:00
D47,C19,2025-01-08 08:50:00,2025-01-08 16:50:00
D42,C20,2025-01-08 08:03:00,2025-01-08 17:03:00
D2,C20,2025-01-08 08:54:00,2025-01-08 17:54:00
D44,C21,2025-01-08 08:31:00,2025-01-08 17:31:00
D7,C21,2025-01-08 08:04:00,2025-01-08 14:04:00
D39,C22,2025-01-08 08:04:00,2025-01-08 15:04:00
D10,C22,2025-01-08 08:17:00,2025-01-08 16:17:00
D39,C23,2025-01-08 08:18:00,2025-01-08 17:18:00
D34,C23,2025-01-08 08:32:00,2025-01-08 17:32:00
D45,C24,2025-01-08 08:07:00,2025-01-08 15:07:00
D29,C25,2025-01-08 08:26:00,2025-01-08 16:26:00
D15,C25,2025-01-08 08:52:00,2025-01-08 17:52:00
D27,C1,2025-01-09 08:06:00,2025-01-09 16:06:00
D47,C1,2025-01-09 08:27:00,2025-01-09 16:27:00
D24,C2,2025-01-09 08:43:00,2025-01-09 17:43:00
D10,C2,2025-01-09 08:04:00,2025-01-09 14:04:00
D6,C3,2025-01-09 08:27:00,2025-01-09 14:27:00
D9,C4,2025-01-09 08:03:00,2025-01-09 16:03:00
D36,C4,2025-01-09 08:42:00,2025-01-09 14:42:00
D23,C5,2025-01-09 09:00:00,2025-01-09 18:00:00
D43,C5,2025-01-09 08:55:00,2025-01-09 14:55:00
D39,C6,2025-01-09 08:22:00,2025-01-09 14:22:00
D20,C6,2025-01-09 08:36:00,2025-01-09 15:36:00
D43,C7,2025-01-09 08:30:00,2025-01-09 15:30:00
D23,C8,2025-01-09 08:54:00,2025-01-09 16:54:00
D49,C9,2025-01-09 08:17:00,2025-01-09 15:17:00
D36,C10,2025-01-09 08:52:00,2025-01-09 14:52:00
D50,C10,2025-01-09 08:38:00,2025-01-09 16:38:00
D12,C11,2025-01-09 08:17:00,2025-01-09 16:17:00
D23,C12,2025-01-09 08:11:00,2025-01-09 15:11:00
D1,C12,2025-01-09 08:36:00,2025-01-09 17:36:00
D10,C13,2025-01-09 08:47:00,2025-01-09 14:47:00
D48,C14,2025-01-09 08:33:00,2025-01-09 15:33:00
D27,C15,2025-01-09 08:21:00,2025-01-09 15:21:00
D30,C15,2025-01-09 08:23:00,2025-01-09 16:23:00
D50,C16,2025-01-09 08:38:00,2025-01-09 14:38:00
D37,C16,2025-01-09 08:56:00,2025-01-09 14:56:00
D11,C17,2025-01-09 08:48:00,2025-01-09 14:48:00
D18,C18,2025-01-09 08:28:00,2025-01-09 17:28:00
D39,C19,2025-01-09 08:26:00,2025-01-09 16:26:00
D29,C19,2025-01-09 08:13:00,2025-01-09 14:13:00
D28,C20,2025-01-09 08:18:00,2025-01-09 17:18:00
D8,C20,2025-01-09 08:33:00,2025-01-09 16:33:00
D15,C21,2025-01-09 08:25:00,2025-01-09 14:25:00
D14,C22,2025-01-09 08:19:00,2025-01-09 15:19:00
D49,C23,2025-01-09 08:16:00,2025-01-09 16:16:00
D8,C24,2025-01-09 08:31:00,2025-01-09 17:31:00
D1,C24,2025-01-09 08:11:00,2025-01-09 15:11:00
D35,C25,2025-01-09 08:14:00,2025-01-09 16:14:00
D46,C25,2025-01-09 08:04:00,2025-01-09 17:04:00
D28,C1,2025-01-10 08:01:00,2025-01-10 17:01:00
D21,C2,2025-01-10 08:36:00,2025-01-10 17:36:00
D46,C3,2025-01-10 08:26:00,2025-01-10 16:26:00
D41,C3,2025-01-10 08:07:00,2025-01-10 17:07:00
D21,C4,2025-01-10 08:10:00,2025-01-10 17:10:00
D6,C5,2025-01-10 08:54:00,2025-01-10 14:54:00
D28,C5,2025-01-10 08:15:00,2025-01-10 17:15:00
D34,C6,2025-01-10 08:25:00,2025-01-10 16:25:00
D6,C6,2025-01-10 08:47:00,2025-01-10 16:47:00
D22,C7,2025-01-10 08:49:00,2025-01-10 15:49:00
D33,C8,2025-01-10 08:40:00,2025-01-10 14:40:00
D50,C9,2025-01-10 08:22:00,2025-01-10 16:22:00
D16,C10,2025-01-10 08:06:00,2025-01-10 15:06:00
D13,C11,2025-01-10 08:38:00,2025-01-10 15:38:00
D12,C11,2025-01-10 08:48:00,2025-01-10 14:48:00
D50,C12,2025-01-10 08:40:00,2025-01-10 17:40:00
D49,C13,2025-01-10 08:48:00,2025-01-10 17:48:00
D37,C13,2025-01-10 08:43:00,2025-01-10 16:43:00
D10,C14,2025-01-10 08:04:00,2025-01-10 17:04:00
D29,C14,2025-01-10 08:28:00,2025-01-10 16:28:00
D38,C15,2025-01-10 08:22:00,2025-01-10 14:22:00
D4,C15,2025-01-10 08:19:00,2025-01-10 17:19:00
D3,C16,2025-01-10 08:23:00,2025-01-10 16:23:00
D4,C16,2025-01-10 08:04:00,2025-01-10 14:04:00
D30,C17,2025-01-10 08:35:00,2025-01-10 14:35:00
D38,C17,2025-01-10 08:28:00,2025-01-10 15:28:00
D39,C18,2025-01-10 08:32:00,2025-01-10 15:32:00
D31,C18,2025-01-10 08:03:00,2025-01-10 17:03:00
D22,C19,2025-01-10 08:45:00,2025-01-10 14:45:00
D3,C20,2025-01-10 08:15:00,2025-01-10 17:15:00
D34,C21,2025-01-10 08:10:00,2025-01-10 16:10:00
D40,C21,2025-01-10 08:23:00,2025-01-10 16:23:00
D27,C22,2025-01-10 08:21:00,2025-01-10 14:21:00
D50,C22,2025-01-10 08:50:00,2025-01-10 16:50:00
D22,C23,2025-01-10 08:06:00,2025-01-10 17:06:00
D17,C24,2025-01-10 08:54:00,2025-01-10 15:54:00
D47,C24,2025-01-10 08:21:00,2025-01-10 14:21:00
D23,C25,2025-01-10 08:19:00,2025-01-10 17:19:00
D39,C1,2025-01-11 08:45:00,2025-01-11 14:45:00
D36,C2,2025-01-11 08:41:00,2025-01-11 16:41:00
D25,C2,2025-01-11 08:52:00,2025-01-11 15:52:00
D42,C3,2025-01-11 08:42:00,2025-01-11 17:42:00
D2,C4,2025-01-11 08:19:00,2025-01-11 15:19:00
D24,C4,2025-01-11 09:00:00,2025-01-11 16:00:00
D50,C5,2025-01-11 08:12:00,2025-01-11 15:12:00
D32,C5,2025-01-11 08:08:00,2025-01-11 15:08:00
D19,C6,2025-01-11 08:54:00,2025-01-11 14:54:00
D43,C7,2025-01-11 08:21:00,2025-01-11 15:21:00
D10,C8,2025-01-11 08:11:00,2025-01-11 15:11:00
D11,C8,2025-01-11 08:46:00,2025-01-11 17:46:00
D27,C9,2025-01-11 08:23:00,2025-01-11 15:23:00
D40,C10,2025-01-11 08:48:00,2025-01-11 17:48:00
D19,C10,2025-01-11 08:14:00,2025-01-11 15:14:00
D31,C11,2025-01-11 08:23:00,2025-01-11 17:23:00
D13,C11,2025-01-11 08:29:00,2025-01-11 16:29:00
D33,C12,2025-01-11 08:26:00,2025-01-11 15:26:00
D34,C12,2025-01-11 08:52:00,2025-01-11 15:52:00
D17,C13,2025-01-11 08:03:00,2025-01-11 17:03:00
D36,C14,2025-01-11 08:45:00,2025-01-11 14:45:00
D7,C14,2025-01-11 08:18:00,2025-01-11 14:18:00
D18,C15,2025-01-11 08:28:00,2025-01-11 15:28:00
D6,C16,2025-01-11 08:52:00,2025-01-11 17:52:00
D15,C16,2025-01-11 08:56:00,2025-01-11 16:56:00
D27,C17,2025-01-11 08:03:00,2025-01-11 17:03:00
D16,C18,2025-01-11 08:05:00,2025-01-11 16:05:00
D25,C18,2025-01-11 08:14:00,2025-01-11 14:14:00
D7,C19,2025-01-11 08:41:00,2025-01-11 16:41:00
D46,C19,2025-01-11 08:50:00,2025-01-11 15:50:00
D3,C20,2025-01-11 08:18:00,2025-01-11 17:18:00
D49,C21,2025-01-11 08:45:00,2025-01-11 17:45:00
D40,C22,2025-01-11 08:57:00,2025-01-11 14:57:00
D1,C22,2025-01-11 08:01:00,2025-01-11 16:01:00
D10,C23,2025-01-11 08:35:00,2025-01-11 17:35:00
D50,C24,2025-01-11 08:18:00,2025-01-11 15:18:00
D8,C25,2025-01-11 08:15:00,2025-01-11 17:15:00
D4,C25,2025-01-11 08:40:00,2025-01-11 17:40:00
D8,C1,2025-01-12 08:53:00,2025-01-12 17:53:00
D41,C2,2025-01-12 08:32:00,2025-01-12 15:32:00
D19,C3,2025-01-12 08:27:00,2025-01-12 14:27:00
D16,C4,2025-01-12 08:26:00,2025-01-12 15:26:00
D37,C4,2025-01-12 08:42:00,2025-01-12 14:42:00
D5,C5,2025-01-12 08:34:00,2025-01-12 14:34:00
D34,C5,2025-01-12 08:24:00,2025-01-12 17:24:00
D41,C6,2025-01-12 08:24:00,2025-01-12 16:24:00
D48,C7,2025-01-12 08:22:00,2025-01-12 14:22:00
D2,C7,2025-01-12 08:22:00,2025-01-12 15:22:00
D50,C8,2025-01-12 08:37:00,2025-01-12 16:37:00
D3,C9,2025-01-12 08:22:00,2025-01-12 16:22:00
D50,C10,2025-01-12 08:43:00,2025-01-12 17:43:00
D41,C11,2025-01-12 08:51:00,2025-01-12 15:51:00
D12,C11,2025-01-12 08:04:00,2025-01-12 17:04:00
D19,C12,2025-01-12 08:12:00,2025-01-12 14:12:00
