date,driver_id,car_id,seconds_above_15kmh,g_events,seatbelt_alarm_seconds,end_odometer_km
1/4/2025,D17,C24,13261,0,0,10447
1/4/2025,D8,C25,13761,1,40,18793
1/4/2025,D48,C25,12180,5,0,20008
1/5/2025,D18,C1,13839,5,0,16918
1/5/2025,D47,C1,8037,0,0,15543
1/5/2025,D15,C2,12830,2,0,15467
1/5/2025,D24,C2,8157,5,0,18277
1/5/2025,D3,C3,6204,2,60,19803
1/5/2025,D4,C3,14630,5,0,14883
1/5/2025,D7,C4,8135,5,0,19008
1/5/2025,D1,C4,9850,3,40,13962
1/5/2025,D22,C5,14074,5,0,12681
1/5/2025,D12,C5,7160,5,60,20374
1/5/2025,D5,C6,11906,4,40,10812
1/5/2025,D37,C7,7491,4,60,16529
1/5/2025,D10,C8,7994,0,0,18433
1/5/2025,D16,C9,13411,0,40,17050
1/5/2025,D50,C10,9334,2,0,16226
1/5/2025,D29,C11,9603,3,0,11068
1/5/2025,D20,C11,7767,3,40,13838
1/5/2025,D49,C12,11458,2,0,18903
1/5/2025,D43,C13,8396,1,0,10695
1/5/2025,D6,C13,12239,2,60,12074
1/5/2025,D1,C14,6450,2,0,11413
1/5/2025,D19,C15,9323,2,0,17257
1/5/2025,D3,C15,8331,1,0,17251
1/5/2025,D5,C16,10718,0,60,13200
1/5/2025,D44,C16,11271,5,40,11626
1/5/2025,D8,C17,9072,0,60,15647
1/5/2025,D35,C17,7587,0,60,19225
1/5/2025,D5,C18,14221,4,0,13630
1/5/2025,D39,C19,6868,1,0,14407
1/5/2025,D48,C19,8255,3,0,10682
1/5/2025,D45,C20,10283,3,0,18442
1/5/2025,D20,C20,9745,1,0,13417
1/5/2025,D29,C21,6284,2,40,18215
1/5/2025,D6,C21,9267,2,60,14021
1/5/2025,D39,C22,12557,3,60,12497
1/5/2025,D17,C22,6217,0,60,14173
1/5/2025,D37,C23,8190,2,0,16753
1/5/2025,D3,C23,14684,4,40,10871
1/5/2025,D12,C24,14585,5,0,13131
1/5/2025,D38,C24,7435,4,60,11942
1/5/2025,D27,C25,11614,1,0,14437
1/5/2025,D22,C25,12729,0,40,11460
1/6/2025,D27,C1,12243,1,0,14327
1/6/2025,D45,C1,12996,4,0,20230
1/6/2025,D30,C2,12295,4,60,15263
1/6/2025,D21,C3,9971,2,0,15496
1/6/2025,D8,C3,14298,1,60,15913
1/6/2025,D27,C4,10973,4,0,14452
1/6/2025,D4,C4,13899,3,60,14007
1/6/2025,D49,C5,13198,3,0,15693
1/6/2025,D4,C5,12112,3,0,17393
1/6/2025,D29,C6,9582,1,0,11483
1/6/2025,D45,C6,7898,4,0,17356
1/6/2025,D20,C7,6459,4,60,16973
1/6/2025,D6,C8,13568,0,0,11295
1/6/2025,D15,C8,11559,4,60,18393
1/6/2025,D32,C9,10383,0,60,13487
1/6/2025,D27,C10,10269,4,60,17596
1/6/2025,D31,C10,12623,1,0,14641
1/6/2025,D13,C11,8071,1,60,19418
1/6/2025,D39,C11,7325,1,60,10777
1/6/2025,D50,C12,12345,4,0,15871
1/6/2025,D27,C12,11285,0,40,11516
1/6/2025,D47,C13,10738,2,0,19374
1/6/2025,D20,C13,8592,0,40,17409
1/6/2025,D35,C14,9200,5,0,16721
1/6/2025,D31,C14,13266,4,0,11689
1/6/2025,D21,C15,6827,2,0,11801
1/6/2025,D13,C15,12967,0,40,17629
1/6/2025,D50,C16,8054,3,0,16928
1/6/2025,D48,C17,10765,1,0,12404
1/6/2025,D31,C17,14944,4,40,18379
1/6/2025,D3,C18,9299,5,60,13116
1/6/2025,D9,C18,8229,5,40,15948
1/6/2025,D7,C19,8845,3,0,13586
1/6/2025,D34,C19,10965,4,0,17719
1/6/2025,D42,C20,14464,3,60,19149
1/6/2025,D10,C20,12993,0,40,20137
1/6/2025,D40,C21,14169,4,40,15959
1/6/2025,D45,C21,7706,5,0,13726
1/6/2025,D21,C22,10933,4,0,17761
1/6/2025,D41,C22,12460,0,0,17022
1/6/2025,D16,C23,10570,5,0,14510
1/6/2025,D48,C24,6137,2,0,12955
1/6/2025,D49,C25,8883,1,60,12442
1/7/2025,D11,C1,6231,5,0,16044
1/7/2025,D45,C1,6186,2,40,19034
1/7/2025,D19,C2,9820,1,40,15521
1/7/2025,D10,C3,7752,1,40,14246
1/7/2025,D16,C3,10316,1,0,12645
1/7/2025,D12,C4,7709,3,40,15245
1/7/2025,D32,C5,12752,1,0,15799
1/7/2025,D30,C6,8040,2,40,12605
1/7/2025,D17,C7,9707,4,0,12049
1/7/2025,D43,C7,14034,5,0,15240
1/7/2025,D5,C8,9074,5,0,19979
1/7/2025,D41,C9,10514,1,60,12180
1/7/2025,D28,C9,8124,2,60,14298
1/7/2025,D25,C10,9531,3,0,17842
1/7/2025,D16,C11,14834,2,0,16793
1/7/2025,D45,C12,14709,1,0,12910
1/7/2025,D19,C12,12991,3,40,14977
1/7/2025,D39,C13,7534,4,0,18560
1/7/2025,D50,C14,7663,0,0,11646
1/7/2025,D15,C14,12222,4,0,19236
1/7/2025,D44,C15,12838,0,0,14591
1/7/2025,D49,C15,6948,5,0,14629
1/7/2025,D20,C16,8000,0,40,15464
1/7/2025,D38,C17,13380,5,0,13720
1/7/2025,D19,C18,8720,3,0,16595
1/7/2025,D13,C19,9696,4,0,14013
1/7/2025,D11,C20,6416,5,60,16517
1/7/2025,D17,C20,8097,5,60,16600
1/7/2025,D8,C21,14034,5,40,14625
1/7/2025,D30,C21,13921,2,60,19207
1/7/2025,D36,C22,6582,0,0,15354
1/7/2025,D24,C22,7955,4,40,14365
1/7/2025,D30,C23,14336,5,60,13180
1/7/2025,D41,C24,8761,2,40,17893
1/7/2025,D24,C24,9209,5,0,12760
1/7/2025,D40,C25,14349,2,0,14669
1/7/2025,D15,C25,7346,5,0,18496
1/8/2025,D42,C1,14154,0,0,20226
1/8/2025,D27,C1,8264,3,40,13738
1/8/2025,D32,C2,11938,0,0,11112
1/8/2025,D8,C2,14167,2,40,18611
1/8/2025,D30,C3,7462,2,40,11485
1/8/2025,D24,C3,12488,5,0,19762
1/8/2025,D42,C4,13033,4,40,15848
1/8/2025,D7,C4,7203,0,60,11702
1/8/2025,D3,C5,6179,0,0,20956
1/8/2025,D45,C5,12207,1,0,12570
1/8/2025,D24,C6,8175,3,0,15190
1/8/2025,D4,C7,7366,4,0,15152
1/8/2025,D26,C7,14992,0,0,20390
1/8/2025,D43,C8,9522,4,0,18776
1/8/2025,D22,C9,7307,4,0,16735
1/8/2025,D5,C10,12628,1,40,19494
1/8/2025,D15,C11,14606,2,60,15440
1/8/2025,D18,C12,8491,5,0,16704
1/8/2025,D35,C13,9415,0,0,12468
1/8/2025,D43,C14,11909,0,40,19668
1/8/2025,D1,C15,13256,0,0,14401
1/8/2025,D2,C16,8168,0,0,11505
1/8/2025,D12,C16,7824,4,0,19394
1/8/2025,D48,C17,10127,4,60,12897
1/8/2025,D50,C18,11345,5,60,13153
1/8/2025,D24,C18,13239,0,0,13147
1/8/2025,D47,C19,6885,0,0,18806
1/8/2025,D42,C20,13432,0,40,13245
1/8/2025,D2,C20,6784,0,40,20404
1/8/2025,D44,C21,13921,1,0,12175
1/8/2025,D7,C21,12818,2,40,19798
1/8/2025,D39,C22,14872,4,40,17550
1/8/2025,D10,C22,8531,3,60,19932
1/8/2025,D39,C23,14623,5,0,15278
1/8/2025,D34,C23,6517,0,0,16937
1/8/2025,D45,C24,8853,4,0,10385
1/8/2025,D29,C25,7814,4,40,17063
1/8/2025,D15,C25,8940,2,0,19619
1/9/2025,D27,C1,9696,5,60,13702
1/9/2025,D47,C1,6941,5,60,12861
1/9/2025,D24,C2,14435,0,0,17137
1/9/2025,D10,C2,14032,4,0,15979
1/9/2025,D6,C3,11550,4,40,13294
1/9/2025,D9,C4,11649,5,0,14995
1/9/2025,D36,C4,12851,5,0,11945
1/9/2025,D23,C5,8770,1,0,19888
1/9/2025,D43,C5,12290,3,40,13656
1/9/2025,D39,C6,11475,1,0,15728
1/9/2025,D20,C6,14804,5,0,15687
1/9/2025,D43,C7,10450,1,0,17685
1/9/2025,D23,C8,9355,3,0,11284
1/9/2025,D49,C9,9312,1,60,15490
1/9/2025,D36,C10,7493,0,60,19578
1/9/2025,D50,C10,6801,4,0,10574
1/9/2025,D12,C11,13213,4,0,18526
1/9/2025,D23,C12,6510,5,40,15730
1/9/2025,D1,C12,7526,2,40,14879
1/9/2025,D10,C13,12909,1,0,12948
1/9/2025,D48,C14,7077,1,0,17890
1/9/2025,D27,C15,6232,3,40,19940
1/9/2025,D30,C15,7399,5,40,13374
1/9/2025,D50,C16,13070,0,60,13768
1/9/2025,D37,C16,9613,2,0,16569
1/9/2025,D11,C17,9817,4,40,12490
1/9/2025,D18,C18,7291,5,0,19918
1/9/2025,D39,C19,12634,3,60,17133
1/9/2025,D29,C19,6103,5,0,11562
1/9/2025,D28,C20,8107,0,60,18591
1/9/2025,D8,C20,7197,3,40,12386
1/9/2025,D15,C21,7800,4,0,16301
1/9/2025,D14,C22,11335,1,0,13822
1/9/2025,D49,C23,7148,5,0,13557
1/9/2025,D8,C24,14111,1,40,19721
1/9/2025,D1,C24,12893,4,0,13116
1/9/2025,D35,C25,13086,3,0,12304
1/9/2025,D46,C25,9835,1,40,20495
1/10/2025,D28,C1,14437,5,40,14887
1/10/2025,D21,C2,13225,0,0,17313
1/10/2025,D46,C3,12028,5,0,14096
1/10/2025,D41,C3,14019,5,0,19151
1/10/2025,D21,C4,9457,4,0,15933
1/10/2025,D6,C5,10236,5,0,17383
1/10/2025,D28,C5,10830,5,40,16011
1/10/2025,D34,C6,7638,5,40,11494
1/10/2025,D6,C6,7360,0,0,15009
1/10/2025,D22,C7,7450,2,0,15025
1/10/2025,D33,C8,6927,5,40,15508
1/10/2025,D50,C9,12980,2,0,11888
1/10/2025,D16,C10,14383,2,40,15924
1/10/2025,D13,C11,12327,1,0,13508
1/10/2025,D12,C11,13583,2,0,17162
1/10/2025,D50,C12,9892,0,0,13501
1/10/2025,D49,C13,7995,1,0,15719
1/10/2025,D37,C13,6790,1,0,20234
1/10/2025,D10,C14,14850,5,60,10715
1/10/2025,D29,C14,12549,2,0,21510
1/10/2025,D38,C15,10116,2,60,18701
1/10/2025,D4,C15,6068,5,0,15394
1/10/2025,D3,C16,9337,1,0,12503
1/10/2025,D4,C16,14060,4,60,12377
1/10/2025,D30,C17,12694,5,0,19669
1/10/2025,D38,C17,9784,0,0,16254
1/10/2025,D39,C18,13611,0,0,13287
1/10/2025,D31,C18,13374,0,0,17639
1/10/2025,D22,C19,11893,0,0,15563
1/10/2025,D3,C20,14549,0,0,16008
1/10/2025,D34,C21,9613,3,0,19087
1/10/2025,D40,C21,9824,2,60,14057
1/10/2025,D27,C22,14833,5,0,13390
1/10/2025,D50,C22,9712,1,40,17881
1/10/2025,D22,C23,14412,0,60,18084
1/10/2025,D17,C24,11994,1,0,12554
1/10/2025,D47,C24,8185,2,40,11491
1/10/2025,D23,C25,14229,1,0,11952
1/11/2025,D39,C1,11737,0,0,20646
1/11/2025,D36,C2,8382,0,40,12548
1/11/2025,D25,C2,7096,1,0,20089
1/11/2025,D42,C3,10416,2,0,20348
1/11/2025,D2,C4,7812,0,60,13212
1/11/2025,D24,C4,8152,3,0,14256
1/11/2025,D50,C5,7302,5,60,15872
1/11/2025,D32,C5,6108,1,0,17545
1/11/2025,D19,C6,6273,2,0,12235
1/11/2025,D43,C7,11190,0,0,12756
1/11/2025,D10,C8,11963,3,60,11645
1/11/2025,D11,C8,9046,0,0,12656
1/11/2025,D27,C9,7074,2,40,13103
1/11/2025,D40,C10,13489,5,0,17568
1/11/2025,D19,C10,8107,0,60,16876
1/11/2025,D31,C11,6613,5,40,13347
1/11/2025,D13,C11,11899,5,0,15659
1/11/2025,D33,C12,11734,2,0,11879
1/11/2025,D34,C12,14470,4,0,12343
1/11/2025,D17,C13,8618,5,0,17778
1/11/2025,D36,C14,10275,4,0,15351
1/11/2025,D7,C14,11946,0,0,15776
1/11/2025,D18,C15,10261,3,0,14891
1/11/2025,D6,C16,10409,1,40,17800
1/11/2025,D15,C16,11235,4,0,16648
1/11/2025,D27,C17,11074,1,60,11462
1/11/2025,D16,C18,12022,5,0,11626
1/11/2025,D25,C18,10272,4,60,17458
1/11/2025,D7,C19,7430,2,0,15857
1/11/2025,D46,C19,6227,3,60,16037
1/11/2025,D3,C20,6858,2,40,19588
1/11/2025,D49,C21,10721,2,60,14059
1/11/2025,D40,C22,8177,3,40,16206
1/11/2025,D1,C22,10082,0,0,20151
1/11/2025,D10,C23,11425,3,40,17019
1/11/2025,D50,C24,12119,5,60,18752
1/11/2025,D8,C25,14369,4,0,14243
1/11/2025,D4,C25,14195,3,0,16381
1/12/2025,D8,C1,9527,5,0,15244
1/12/2025,D41,C2,6494,1,0,19674
1/12/2025,D19,C3,10667,3,0,11621
1/12/2025,D16,C4,12182,3,0,16139
1/12/2025,D37,C4,12118,2,40,20413
1/12/2025,D5,C5,9231,5,60,11823
1/12/2025,D34,C5,13968,4,0,21119
1/12/2025,D41,C6,12163,3,0,20826
1/12/2025,D48,C7,14916,2,0,16463
1/12/2025,D2,C7,14639,0,0,15618
1/12/2025,D50,C8,6288,2,0,14282
1/12/2025,D3,C9,10644,3,0,13461
1/12/2025,D50,C10,6752,5,40,17375
1/12/2025,D41,C11,8870,4,40,16437
1/12/2025,D12,C11,9792,1,60,16002
1/12/2025,D19,C12,6204,2,0,15456
1/12/2025,D3,C13,6764,3,0,18972
1/12/2025,D35,C14,13237,3,60,16240
1/12/2025,D31,C14,7655,4,40,14821
1/12/2025,D23,C15,9891,3,40,11684
1/12/2025,D50,C15,8173,1,40,20795
1/12/2025,D28,C16,6602,5,0,17632
1/12/2025,D26,C16,9468,4,0,11564
1/12/2025,D12,C17,14171,1,60,18490
1/12/2025,D32,C17,14678,3,0,17033
1/12/2025,D47,C18,7998,2,60,12920
1/12/2025,D39,C19,11089,3,40,20279
1/12/2025,D12,C19,8342,5,40,13793
1/12/2025,D21,C20,13674,0,0,16365
1/12/2025,D29,C21,8514,2,0,12027
1/12/2025,D39,C21,10542,0,0,12587
1/12/2025,D29,C22,13878,4,60,19011
1/12/2025,D3,C22,10067,4,0,20278
1/12/2025,D41,C23,12603,0,0,12212
1/12/2025,D4,C23,10256,3,40,12593
1/12/2025,D10,C24,12004,1,0,19391
1/12/2025,D9,C25,7142,5,0,19468
1/13/2025,D24,C1,8287,4,40,19127
1/13/2025,D25,C1,8610,0,0,19507
1/13/2025,D24,C2,7276,2,0,13331
1/13/2025,D29,C2,10374,3,0,12268
1/13/2025,D26,C3,9065,0,40,15256
1/13/2025,D21,C3,14052,4,40,21572
1/13/2025,D48,C4,12937,3,40,15057
1/13/2025,D36,C5,10524,1,60,17929
1/13/2025,D8,C5,9984,3,0,16176
1/13/2025,D40,C6,11035,4,0,19728
1/13/2025,D8,C7,9449,0,60,20386
1/13/2025,D12,C8,11416,3,0,11824
1/13/2025,D46,C8,7843,0,0,14793
1/13/2025,D46,C9,14207,3,60,15619
1/13/2025,D5,C9,11194,1,0,16180
1/13/2025,D46,C10,13255,1,60,15680
1/13/2025,D33,C11,10413,5,40,19149
1/13/2025,D15,C11,9677,0,40,17550
1/13/2025,D32,C12,10663,4,0,19089
1/13/2025,D30,C13,13576,2,40,17963
1/13/2025,D36,C13,8085,1,60,18270
1/13/2025,D46,C14,12911,5,40,13891
1/13/2025,D47,C14,12737,5,40,20299
1/13/2025,D9,C15,9981,4,0,15449
1/13/2025,D30,C16,7446,4,0,14539
1/13/2025,D44,C16,11374,5,60,19861
1/13/2025,D28,C17,11308,1,0,12537
1/13/2025,D34,C18,6143,2,60,20876
1/13/2025,D11,C19,8141,4,0,18321
1/13/2025,D34,C20,11287,2,0,17256
1/13/2025,D19,C20,8712,4,0,15076
1/13/2025,D9,C21,7696,4,60,17719
1/13/2025,D41,C21,11179,4,40,18704
1/13/2025,D11,C22,6739,2,0,14028
1/13/2025,D2,C23,11468,3,0,20694
1/13/2025,D42,C24,10279,4,40,15603
1/13/2025,D14,C24,6868,1,0,14410
1/13/2025,D41,C25,7546,5,0,16781
1/13/2025,D35,C25,12636,3,60,12961
1/14/2025,D20,C1,9039,0,0,16960
1/14/2025,D30,C1,6942,2,60,16541
1/14/2025,D31,C2,7253,4,40,20206
1/14/2025,D30,C2,14386,0,40,21473
1/14/2025,D46,C3,13739,3,40,20554
1/14/2025,D21,C3,6417,2,0,16544
1/14/2025,D33,C4,11036,0,0,19061
1/14/2025,D36,C4,10206,5,40,20552
1/14/2025,D18,C5,10968,4,60,17129
1/14/2025,D7,C6,13593,3,0,12991
1/14/2025,D40,C7,12500,1,40,14240
1/14/2025,D27,C7,7346,0,60,15140
1/14/2025,D13,C8,8412,3,0,18619
1/14/2025,D49,C8,7668,5,40,12505
1/14/2025,D20,C9,9178,5,0,18107
1/14/2025,D32,C9,14543,3,0,19768
1/14/2025,D16,C10,10282,2,0,18677
1/14/2025,D14,C10,9173,5,40,10836
1/14/2025,D32,C11,14494,3,60,18080
1/14/2025,D39,C11,14956,5,60,20236
1/14/2025,D28,C12,9129,5,60,19115
1/14/2025,D49,C13,9816,4,60,21562
1/14/2025,D26,C13,10997,3,0,13618
1/14/2025,D24,C14,7178,1,0,14722
1/14/2025,D25,C15,12229,1,0,13950
1/14/2025,D40,C16,7123,5,60,11651
1/14/2025,D44,C16,12169,3,0,12026
1/14/2025,D24,C17,11936,3,0,17616
1/14/2025,D22,C17,12013,0,0,19506
1/14/2025,D39,C18,6297,0,0,13157
1/14/2025,D3,C19,10566,4,40,14239
1/14/2025,D31,C20,10954,3,0,14517
1/14/2025,D34,C20,7962,1,0,19872
1/14/2025,D40,C21,6351,4,40,16390
1/14/2025,D21,C21,11297,0,0,14551
1/14/2025,D33,C22,10290,5,0,15777
1/14/2025,D35,C22,14558,2,0,17406
1/14/2025,D22,C23,11683,1,0,12096
1/14/2025,D44,C23,6044,0,0,16588
1/14/2025,D39,C24,14817,5,0,19082
1/14/2025,D47,C25,9035,1,0,13760
1/15/2025,D34,C1,6202,3,60,19026
1/15/2025,D44,C2,7597,3,0,19602
1/15/2025,D13,C3,14722,0,40,13527
1/15/2025,D27,C4,14883,5,60,17576
1/15/2025,D10,C4,10122,5,40,11996
1/15/2025,D46,C5,10805,2,0,16625
1/15/2025,D43,C6,9341,0,40,20828
1/15/2025,D31,C6,14839,4,40,13362
1/15/2025,D35,C7,8767,1,0,13082
1/15/2025,D22,C7,11875,4,0,12381
1/15/2025,D13,C8,14060,2,40,15341
1/15/2025,D16,C8,12578,3,0,13664
1/15/2025,D46,C9,7203,2,60,20107
1/15/2025,D14,C9,13585,0,40,13742
1/15/2025,D36,C10,12800,4,40,19386
1/15/2025,D47,C10,6095,4,0,16936
1/15/2025,D23,C11,9448,5,60,15678
1/15/2025,D50,C11,14693,3,0,14843
1/15/2025,D46,C12,11640,5,40,12576
1/15/2025,D6,C12,11801,1,60,14455
1/15/2025,D14,C13,12248,0,60,17244
1/15/2025,D13,C13,6084,2,0,15718
1/15/2025,D7,C14,8521,1,0,13673
1/15/2025,D4,C15,14925,3,40,17896
1/15/2025,D4,C16,13063,1,40,20187
1/15/2025,D46,C17,8120,4,60,19023
1/15/2025,D31,C17,11194,2,0,16710
1/15/2025,D42,C18,6066,4,60,15905
1/15/2025,D31,C18,10496,1,0,13875
1/15/2025,D19,C19,13311,1,0,12520
1/15/2025,D42,C19,8125,0,40,14664
1/15/2025,D12,C20,10570,4,0,17579
1/15/2025,D26,C21,11210,3,60,14536
1/15/2025,D48,C22,14123,3,0,20258
1/15/2025,D1,C23,9634,5,40,18613
1/15/2025,D19,C24,10455,4,40,12374
1/15/2025,D30,C24,10651,5,60,11881
1/15/2025,D18,C25,14346,2,40,16709
1/15/2025,D13,C25,11613,4,0,14062
1/16/2025,D42,C1,11934,5,40,14406
1/16/2025,D17,C1,7375,5,0,12120
1/16/2025,D37,C2,10223,3,40,17938
1/16/2025,D44,C2,14436,1,60,18165
1/16/2025,D33,C3,12139,0,40,21555
1/16/2025,D21,C3,13924,0,0,17843
1/16/2025,D9,C4,9214,5,0,13813
1/16/2025,D1,C5,6411,5,60,12543
1/16/2025,D29,C6,12399,0,0,13899
1/16/2025,D20,C7,13482,5,0,15767
1/16/2025,D38,C7,14404,5,0,12392
1/16/2025,D4,C8,11051,0,0,16442
1/16/2025,D20,C9,10496,4,0,11982
1/16/2025,D11,C9,12253,2,40,17055
1/16/2025,D24,C10,7067,0,60,19845
1/16/2025,D40,C10,10458,5,0,16273
1/16/2025,D30,C11,11265,1,0,12805
1/16/2025,D45,C12,13766,5,0,14582
1/16/2025,D36,C12,13126,2,60,20119
1/16/2025,D44,C13,11689,1,0,15857
1/16/2025,D34,C14,7601,4,0,14697
1/16/2025,D46,C14,7091,2,0,20795
1/16/2025,D36,C15,14231,3,40,14743
1/16/2025,D11,C16,8192,1,60,13920
1/16/2025,D44,C17,8916,4,40,13107
1/16/2025,D33,C18,7985,4,40,18455
1/16/2025,D9,C19,13323,5,60,17004
1/16/2025,D33,C19,11561,5,0,18810
